Jarvis,Landry,Cleveland Browns,WR,16
Logan,Woodside,Tennessee Titans,QB,14
Tyler,Boyd,Cincinnati Bengals,WR,13
Julian,Edelman,New England Patriots,WR,13
Lynn,Bowden Jr.,Miami Dolphins,WR,16
Golden,Tate,New York Giants,WR,15
Travis,Kelce,Kansas City Chiefs,TE,10
Russell,Gage,Atlanta Falcons,WR,12
Cedrick,Wilson,Dallas Cowboys,WR,10
Jakobi,Meyers,New England Patriots,WR,12
Cole,Beasley,Buffalo Bills,WR,16
Keenan,Allen,Los Angeles Chargers,WR,13
Jaquan,Johnson,Buffalo Bills,S,10
Easton,Stick,Los Angeles Chargers,QB,11
Randall,Cobb,Houston Texans,WR,16
Andy,Lee,Arizona Cardinals,P,16
Zach,Pascal,Indianapolis Colts,WR,13
Sam,Koch,Baltimore Ravens,P,15
Isaiah,McKenzie,Buffalo Bills,WR,13
Sammy,Watkins,Kansas City Chiefs,WR,15
Isaiah,Wright,Washington Football Team,WR,16
Alex,Erickson,Cincinnati Bengals,WR,16
Zay,Jones,Las Vegas Raiders,WR,12
Stefon,Diggs,Buffalo Bills,WR,14
Davante,Adams,Green Bay Packers,WR,13
DeAndre,Hopkins,Arizona Cardinals,WR,15
Tyreek,Hill,Kansas City Chiefs,WR,16
JuJu,Smith-Schuster,Pittsburgh Steelers,WR,12
Allen,Robinson II,Chicago Bears,WR,16
Darren,Waller,Las Vegas Raiders,TE,13
Robert,Woods,Los Angeles Rams,WR,15
Tyler,Lockett,Seattle Seahawks,WR,11
Diontae,Johnson,Pittsburgh Steelers,WR,14
Cooper,Kupp,Los Angeles Rams,WR,13
Robby,Anderson,Carolina Panthers,WR,14
Terry,McLaurin,Washington Football Team,WR,10
Amari,Cooper,Dallas Cowboys,WR,16
Calvin,Ridley,Atlanta Falcons,WR,16
Justin,Jefferson,Minnesota Vikings,WR,10
Alvin,Kamara,New Orleans Saints,RB,10
DK,Metcalf,Seattle Seahawks,WR,13
J.D.,McKissic,Washington Football Team,RB,16
Mike,Evans,Tampa Bay Buccaneers,WR,15
Chris,Godwin,Tampa Bay Buccaneers,WR,11
Brandin,Cooks,Houston Texans,WR,16
Curtis,Samuel,Carolina Panthers,WR,11
Logan,Thomas,Washington Football Team,TE,10
A.J.,Brown,Tennessee Titans,WR,11
Marvin,Jones Jr.,Detroit Lions,WR,13
CeeDee,Lamb,Dallas Cowboys,WR,14
Adam,Thielen,Minnesota Vikings,WR,12
Marquise,Brown,Baltimore Ravens,WR,11
Emmanuel,Sanders,New Orleans Saints,WR,16
T.J.,Hockenson,Detroit Lions,TE,14
Chase,Claypool,Pittsburgh Steelers,WR,10
Tee,Higgins,Cincinnati Bengals,WR,16
Sterling,Shepard,New York Giants,WR,11
Mark,Andrews,Baltimore Ravens,TE,10
DJ,Moore,Carolina Panthers,WR,15
Corey,Davis,Tennessee Titans,WR,10
Nyheim,Hines,Indianapolis Colts,RB,14
Dalton,Schultz,Dallas Cowboys,TE,15
Eric,Ebron,Pittsburgh Steelers,TE,15
Evan,Engram,New York Giants,TE,10
DeVante,Parker,Miami Dolphins,WR,16
Noah,Fant,Denver Broncos,TE,12
Darnell,Mooney,Chicago Bears,WR,11
Brandon,Aiyuk,San Francisco 49ers,WR,14
Hunter,Henry,Los Angeles Chargers,TE,11
Robert,Tonyan,Green Bay Packers,TE,16
Mike,Davis,Carolina Panthers,RB,15
Michael,Gallup,Dallas Cowboys,WR,14
Jamison,Crowder,New York Jets,WR,11
T.Y.,Hilton,Indianapolis Colts,WR,13
Laviska,Shenault Jr.,Jacksonville Jaguars,WR,13
Hayden,Hurst,Atlanta Falcons,TE,13
Hunter,Renfrow,Las Vegas Raiders,WR,11
Austin,Hooper,Cleveland Browns,TE,15
Josh,Reynolds,Los Angeles Rams,WR,11
Keelan,Cole,Jacksonville Jaguars,WR,14
Leonard,Fournette,Tampa Bay Buccaneers,RB,13
David,Montgomery,Chicago Bears,RB,12
Austin,Ekeler,Los Angeles Chargers,RB,16
Larry,Fitzgerald,Arizona Cardinals,WR,13
Antonio,Brown,Tampa Bay Buccaneers,WR,12
Greg,Ward,Philadelphia Eagles,WR,14
Mike,Gesicki,Miami Dolphins,TE,15
Rob,Gronkowski,Tampa Bay Buccaneers,TE,13
Will,Fuller V,Houston Texans,WR,16
Chase,Edmonds,Arizona Cardinals,RB,10
DJ,Chark Jr.,Jacksonville Jaguars,WR,11
Jimmy,Graham,Chicago Bears,TE,11
Jerry,Jeudy,Denver Broncos,WR,11
Aaron,Jones,Green Bay Packers,RB,10
Ezekiel,Elliott,Dallas Cowboys,RB,13
Anthony,Miller,Chicago Bears,WR,12
Tim,Patrick,Denver Broncos,WR,11
Julio,Jones,Atlanta Falcons,WR,10
Darius,Slayton,New York Giants,WR,10
James,Robinson,Jacksonville Jaguars,RB,14
Mecole,Hardman,Kansas City Chiefs,WR,14
Kendrick,Bourne,San Francisco 49ers,WR,13
James,White,New England Patriots,RB,13
George,Kittle,San Francisco 49ers,TE,12
Mike,Williams,Los Angeles Chargers,WR,11
Nelson,Agholor,Las Vegas Raiders,WR,14
Christian,Kirk,Arizona Cardinals,WR,10
Damiere,Byrd,New England Patriots,WR,16
Giovani,Bernard,Cincinnati Bengals,HB,12
Tyler,Higbee,Los Angeles Rams,TE,12
A.J.,Green,Cincinnati Bengals,WR,11
Demarcus,Robinson,Kansas City Chiefs,WR,15
Jared,Cook,New Orleans Saints,TE,11
D'Andre,Swift,Detroit Lions,RB,13
Dallas,Goedert,Philadelphia Eagles,TE,10
